1001
Daedalus, Stephen
Dublin, Ireland
Keys
MINOS
1,1
1904,06,16,1922,02,02
time_since_8am0,-0.21286308105917126
1,-0.6578196514917171
2,-2.1586462355141833
3,-1.0832166328823143
4,1.3677943066111855
5,-0.9411233977619171
6,-0.3631493755931053
7,-0.33378241339565407
8,2.0803871086096835
9,-0.8772191606113489
10,-1.209804948008459
11,0.0548832620921693
12,0.4440545403628803
13,0.08246010877820152
14,0.28997798038004846
15,0.06246491164209684
16,-0.52859686624122
17,-0.9951899589441361
18,-0.8918875776616898
19,-0.5084592038972663
20,0.08101580864098976
21,0.2289548416357925
22,1.493000023332488
23,1.3729165722252883
24,1.2469626658358983
25,0.45090148802227326
26,0.2339884864123793
27,-0.15057800031790816
28,-0.6217915641984925
29,0.42484024814523175
30,-0.6592933274498135
31,-0.4611442804886739
32,0.8993335857904096
33,-1.838588271214899
34,-0.029284319350873687
35,0.553565727092565
36,0.7046885353965389
37,-1.6281584479796984
38,-0.431552309790171
39,-1.3429230104796706
40,1.1253310706715631
41,0.6809900031495291
42,0.247892895764275
43,-0.3759880387830275
44,-0.08264625062865492
45,-0.9916376804695953
46,0.020173735269798997
47,-0.5185478927315036
48,-1.6373213722188933
49,-0.3074952265405504
50,1.9493023155610598
51,-2.2594087507231246
52,0.37803765588714333
53,-1.4081199186342706
54,-0.4927406163534943
55,-0.9420554302071903
56,0.6975481469777025
57,-0.023910580695763475
58,-0.9145728879555437
59,0.07501388602065236
60,-0.2786395846713276
61,-0.15240616372780683
62,-0.38034218212992355
63,2.142826767903019
64,0.10444546127608981
65,0.5813506604984162
66,-1.6471604993006868
67,-0.02263787605743144
68,-1.423253847318559
69,-1.8171597951286482
70,-1.3329353881117696
71,0.7820431463740465
72,-1.2634335223530406
73,-1.303674596926368
74,-0.16979308151481806
75,-1.0992224516429583
76,1.1491138715033968
77,0.1515535544085811
78,-0.5040670834259479
79,2.068337528794696
80,-1.8780121277971986
81,-0.038588975474844765
82,0.804269549624927
83,-1.566936836115608
84,-1.0889614732062163
85,-0.3767769733169527
86,0.4302306640327612
87,0.9950446214194677
88,0.051984940416068444
89,0.8710956358678761
90,2.0187156324642626
91,1.0008909433369069
92,0.5097530540565791
93,0.315288058858387
94,-1.3885819597285687
95,0.6887252243815835
96,0.6513703029707137
97,-1.389608955480205
98,1.226342919482856
99,-0.6700286436130498
100,-0.766993730517705
101,0.3198993223015701
102,-0.6890977164524648
103,1.4608036755055887
104,-2.139634076262946
105,1.0854957069794626
106,-1.9125642793829185
107,-1.3288396162542448
108,-0.6027398883216675
109,-0.1268951201849506
110,0.37189699644125984
111,0.1035691468655455
112,-0.387776650234611
113,-0.2760896293326367
114,0.029126368669437148
115,-0.3042254975396097
116,1.3396326610558167
117,1.342875414795682
118,1.8846533616815513
119,-2.201049913733233
120,-0.257683737176014
121,1.5140642555064714
122,-2.2916389232015026
123,1.4541184476346665
124,-1.5699422903550733
125,-0.3854115102334851
126,0.7989549797586989
127,-1.8053436252986639
128,-0.28398037707113066
129,-1.1964462790578017
130,0.9368333804783736
131,1.7985266862875753
132,1.3201215560544428
133,-0.16871788335907603
134,-0.005753051182117836
135,-0.8328798732488721
136,0.3988927026140005
137,0.09662286274658523
138,1.0243042849447324
139,-0.8399563724472031
140,0.02142276720280649
141,0.25458322149002666
142,-1.6058144908667122
143,0.07089150197418441
144,0.032856328784104806
145,1.3844284790206183
146,0.4379269018396006
147,1.7996614254559182
148,-0.07668070138473507
149,-0.4503659344447172
150,-0.7769850034893094
151,0.18170720384976125
152,-1.713327351044878
153,0.15299688397141545
154,0.17085363701747217
155,-0.4486043152745843
156,0.47989127554426075
157,-0.658148627068481
158,-0.0938484197298968
159,-0.9946667546188779
160,-0.20854909699761956
161,-1.5718931865510768
162,0.989334312481029
163,-0.014956537556295448
164,0.6214922133596632
165,-1.4414511317455052
166,0.8714079410299813
167,0.34654612613014346
168,0.4342214162315396
169,0.3219241183502608
170,-0.4331204844063113
171,0.2043419401255132
172,-1.7982793055949686
173,-1.1426490128026283
174,-2.9871727710881304
175,1.8671212584527088
176,0.3223775824068647
177,0.6673928779099122
178,1.6795385382636083
179,-0.42575889705619746
180,-0.42221031564472944
181,-1.4438922604017195
182,0.16880745429505378
183,-1.7506449983653969
184,-1.269947117343611
185,2.3569538565815025
186,0.8287517402015314
187,-0.4235594491170725
188,0.7031728375480231
189,-0.01601282159083027
190,0.11071872275944057
191,2.0216643891670305
192,1.6804736325091552
193,-0.25395237485190525
194,0.9055141678061238
195,1.3441850256306387
196,0.7685712228483894
197,1.0208138170896068
198,2.229100079779443
199,0.6598410158006427
200,-1.1328596738302346
201,0.5873633933163719
202,0.14018811073523682
203,-0.9319593744847655
204,-1.0090693570668723
205,-0.33026954318610496
206,1.0473430798407386
207,0.6376458362608013
208,-0.4193294304058047
209,-0.6160857619007097
210,-0.24896432991175177
211,-1.1490512939366444
212,-0.4015978466494949
